"filename", "language", "Python", "SCSS", "comment", "blank", "total"
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\api\loginAPI.py", "Python", 89, 0, 7, 20, 116
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\api\mainAPI.py", "Python", 142, 0, 4, 21, 167
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\components\captchalabel.py", "Python", 19, 0, 0, 7, 26
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\components\clicklabel.py", "Python", 11, 0, 0, 3, 14
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\components\elcatalog.py", "Python", 60, 0, 8, 20, 88
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\components\messagelabel.py", "Python", 64, 0, 5, 21, 90
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\main.py", "Python", 13, 0, 5, 7, 25
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\resource\qrc\loginQrc_rc.py", "Python", 4773, 0, 6, 11, 4790
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\resource\qrc\mainQrc_rc.py", "Python", 1310, 0, 6, 11, 1327
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\resource\qss\common.scss", "SCSS", 0, 31, 0, 10, 41
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\resource\qss\el_catalog.scss", "SCSS", 0, 21, 0, 8, 29
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\resource\qss\login.scss", "SCSS", 0, 97, 0, 19, 116
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\resource\qss\main.scss", "SCSS", 0, 181, 1, 35, 217
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\src\__init__.py", "Python", 0, 0, 0, 1, 1
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\src\login_main.py", "Python", 225, 0, 3, 34, 262
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\src\recruit_main.py", "Python", 292, 0, 33, 43, 368
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\ui\__init__.py", "Python", 0, 0, 0, 1, 1
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\ui\login.py", "Python", 56, 0, 7, 8, 71
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\ui\login_log.py", "Python", 80, 0, 7, 8, 95
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\ui\login_reg.py", "Python", 113, 0, 7, 8, 128
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\ui\main.py", "Python", 923, 0, 7, 8, 938
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\ui\message_success.py", "Python", 29, 0, 7, 8, 44
"h:\接单\1958756124713311871人力资源管理软件\XuanYuRecruit\utils\__init__.py", "Python", 0, 0, 0, 1, 1
"Total", "-", 8199, 330, 113, 313, 8955
